date,hour,open,high,low,close,volume(BTC),ohlc4,SMA48,average_true_range,EMA9,EMA48,10x short,25x short,50x short,100x short,10x long,25x long,50x long,100x long
2022-02-12 23:00:00,23.0,42204.0,42276.0,42085.0,42245.0,5738591.8649,42202.5,42756.71,394.0,42359.24,42775.61,46805.8,43895.59,43004.31,42576.43,38684.24,40926.81,41733.25,42144.27
2022-02-13 00:00:00,0.0,42245.0,42526.0,42076.0,42415.0,7949525.7063,42315.5,42738.22,405.64,42350.5,42756.83,46796.13,43886.52,42995.43,42567.63,38676.25,40918.35,41724.63,42135.56
2022-02-13 01:00:00,1.0,42415.0,42509.0,42224.0,42261.0,6204792.5151,42352.25,42719.93,387.86,42350.85,42740.32,46796.52,43886.89,42995.78,42567.99,38676.57,40918.69,41724.97,42135.91
2022-02-13 02:00:00,2.0,42261.0,42293.0,42126.0,42246.0,5303486.3229,42231.5,42701.76,382.21,42326.98,42719.55,46770.14,43862.15,42971.55,42543.99,38654.77,40895.63,41701.46,42112.16
2022-02-13 03:00:00,3.0,42246.0,42325.0,42179.0,42253.0,5787176.354,42250.75,42680.48,374.29,42311.73,42700.42,46753.29,43846.35,42956.07,42528.67,38640.85,40880.9,41686.44,42096.99
2022-02-13 04:00:00,4.0,42253.0,42354.0,42145.0,42233.0,3620946.7966,42246.25,42660.2,358.57,42298.64,42681.88,46738.82,43832.78,42942.78,42515.51,38628.89,40868.25,41673.53,42083.96
2022-02-13 05:00:00,5.0,42233.0,42336.0,42147.0,42295.0,4699173.3638,42252.75,42644.76,345.29,42289.46,42664.36,46728.68,43823.27,42933.46,42506.28,38620.51,40859.38,41664.49,42074.83
2022-02-13 06:00:00,6.0,42295.0,42496.0,42243.0,42455.0,8279704.4223,42372.25,42630.1,305.43,42306.02,42652.44,46746.98,43840.43,42950.27,42522.93,38635.63,40875.38,41680.8,42091.31
2022-02-13 07:00:00,7.0,42455.0,42483.0,42317.0,42433.0,4664900.5145,42422.0,42611.24,298.86,42329.21,42643.03,46772.61,43864.47,42973.82,42546.24,38656.82,40897.79,41703.66,42114.39
2022-02-13 08:00:00,8.0,42433.0,42518.0,42354.0,42472.0,5726423.564,42444.25,42594.03,290.07,42352.22,42634.92,46798.03,43888.31,42997.18,42569.37,38677.83,40920.02,41726.33,42137.28
